date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:39	160/160	---MCZ	200	added ('OK')	text/plain	etag:W/%22a028f3c7bd63ea99724d4177cbfa1e98%22	https://www.tokogame.com/robots.txt		(from )
16:32:39	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2020%20Apr%202026%2009:32:40%20GMT	https://www.tokogame.com/	./www.tokogame.com/index.html	(from )
16:32:40	356281/356281	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2009:32:41%20GMT	https://www.tokogame.com/id-id	./www.tokogame.com/id-id.html	(from https://www.tokogame.com/)
16:32:41	1934/1934	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220bb0934df81b3d3d6a143d891fcf911b%22	https://www.tokogame.com/assets/game.svg	./www.tokogame.com/assets/game.svg	(from https://www.tokogame.com/id-id)
16:32:42	1678/1678	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f526007f9bcc1579dd8e8cdb2432ebb9%22	https://www.tokogame.com/assets/promo.svg	./www.tokogame.com/assets/promo.svg	(from https://www.tokogame.com/id-id)
16:32:43	867/867	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2204cd512fbc4434dc29d0c18f189310be%22	https://www.tokogame.com/assets/chat.svg	./www.tokogame.com/assets/chat.svg	(from https://www.tokogame.com/id-id)
16:32:44	1139/1139	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a402c64e2afe732f3bae0649a6c54a93%22	https://www.tokogame.com/assets/voucher.svg	./www.tokogame.com/assets/voucher.svg	(from https://www.tokogame.com/id-id)
16:32:45	7480/7480	---M--	200	added ('OK')	image/png	etag:%2290d1c0f34f44f9398ebd380aacde9aa5%22	https://www.tokogame.com/assets/tokogame-green-transparent.png	./www.tokogame.com/assets/tokogame-green-transparent.png	(from https://www.tokogame.com/id-id)
16:32:45	341/341	---M--	200	added ('OK')	image/png	etag:%22e8174de63acf1bf533186ebf37610e21%22	https://www.tokogame.com/assets/share.png	./www.tokogame.com/assets/share.png	(from https://www.tokogame.com/id-id)
16:32:47	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2212c9d3582623b18f8ec4e3e54602c6de%22	https://www.tokogame.com/favicon.ico	./www.tokogame.com/favicon.ico	(from https://www.tokogame.com/id-id)
16:32:48	356396/356396	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2009:32:49%20GMT	https://www.tokogame.com/en-id	./www.tokogame.com/en-id.html	(from https://www.tokogame.com/id-id)
16:32:49	314657/314657	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2009:32:49%20GMT	https://www.tokogame.com/en-my	./www.tokogame.com/en-my.html	(from https://www.tokogame.com/id-id)
16:32:50	42516/42516	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Apr%202026%2014:04:49%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/Gord-Techno-Hazard-MLBB.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/Gord-Techno-Hazard-MLBB.jpg	(from https://www.tokogame.com/id-id)
16:32:52	37619/37619	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Apr%202026%2015:44:20%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/Mask-Spirits-Huang-Zhong-1.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/Mask-Spirits-Huang-Zhong-1.jpg	(from https://www.tokogame.com/id-id)
16:32:52	45437/45437	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202026%2013:28:15%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/MLBB-Hook-War-1.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/MLBB-Hook-War-1.jpg	(from https://www.tokogame.com/id-id)
16:32:54	21055/21055	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Apr%202026%2012:07:07%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/Ray-Free-Fire-2.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/Ray-Free-Fire-2.jpg	(from https://www.tokogame.com/id-id)
16:32:54	32926/32926	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202026%2013:01:08%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/Bundle-Panther-FF.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/Bundle-Panther-FF.jpg	(from https://www.tokogame.com/id-id)
16:32:56	1201/1201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223d912d3d3f740a0c801b9d29a2cfbb43%22	https://www.tokogame.com/assets/search.svg	./www.tokogame.com/assets/search.svg	(from https://www.tokogame.com/id-id)
16:32:56	38227/38227	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202026%2012:01:53%20GMT	https://blog.tokogame.com/wp-content/uploads/2026/04/misteri-bawah-laut-free-fire-4.jpg	./blog.tokogame.com/wp-content/uploads/2026/04/misteri-bawah-laut-free-fire-4.jpg	(from https://www.tokogame.com/id-id)
16:32:57	154/154	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ffa66be0da35f579caf975ad9685b53e%22	https://www.tokogame.com/assets/Rectangle.svg	./www.tokogame.com/assets/Rectangle.svg	(from https://www.tokogame.com/id-id)
16:32:58	484/484	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bdec7392341bbeff192861b457034263%22	https://www.tokogame.com/assets/arrow.svg	./www.tokogame.com/assets/arrow.svg	(from https://www.tokogame.com/id-id)
16:32:59	1166/1166	---MCZ	200	added ('OK')	application/json	etag:W/%22d9b4a01d4a371b10743b9c7ec64e67a9%22	https://www.tokogame.com/manifest.json	./www.tokogame.com/manifest.json	(from https://www.tokogame.com/id-id)
16:32:59	20595/20595	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2018:17:02%20GMT	https://www.tokogame.com/icon.png	./www.tokogame.com/icon.png	(from https://www.tokogame.com/id-id)
16:33:01	23004/23004	---M--	200	added ('OK')	font/woff2	etag:%22dfd417c8a05b6df7c726ba5ac241861c%22	https://www.tokogame.com/fonts/hemihead.woff2	./www.tokogame.com/fonts/hemihead.woff2	(from https://www.tokogame.com/id-id)
16:33:02	17074/17074	---M--	200	added ('OK')	image/png	etag:%22565e665691194c9eb5d9c895c9971acd%22	https://www.tokogame.com/icon-192x192.png	./www.tokogame.com/icon-192x192.png	(from https://www.tokogame.com/id-id)
16:33:04	5038/5038	---MCZ	200	added ('OK')	text/css	etag:W/%225d4f445c854b57cbfa5f7936a3e729ed%22	https://www.tokogame.com/_next/static/css/0f72cdb4afc5757d.css	./www.tokogame.com/_next/static/css/0f72cdb4afc5757d.css	(from https://www.tokogame.com/id-id)
16:33:05	260695/260695	---MCZ	200	added ('OK')	text/css	etag:W/%22bf7c23117d9ee989151c55033defde1a%22	https://www.tokogame.com/_next/static/css/b286fddf2223d8d5.css	./www.tokogame.com/_next/static/css/b286fddf2223d8d5.css	(from https://www.tokogame.com/id-id)
16:33:05	6572/6572	---MCZ	200	added ('OK')	application/javascript	etag:W/%226631fce003725d4412627a399a769228%22	https://www.tokogame.com/_next/static/chunks/webpack-efd9341ed0b3dcf9.js	./www.tokogame.com/_next/static/chunks/webpack-efd9341ed0b3dcf9.js	(from https://www.tokogame.com/id-id)
16:33:05	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://www.tokogame.com/_next/static/chunks/polyfills-42372ed130431b0a.js	./www.tokogame.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://www.tokogame.com/id-id)
